backbone,tsk_pretext,d_pretext,head_pred,ft_strategy,tsk_target,d_target,frac_dtarget,metric_target,metric
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,KH,1.0,accuracy,0.7430555555555555
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,KH,1.0,accuracy,0.6527777777777777
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,KH,1.0,accuracy,0.7453703703703703
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,KH,1.0,accuracy,0.6481481481481483
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,KH,1.0,accuracy,0.6712962962962963
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,KH,1.0,accuracy,0.7175925925925926
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,KH,0.1,accuracy,0.30092592592592593
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,KH,0.1,accuracy,0.25
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,KH,0.1,accuracy,0.3101851851851852
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,KH,0.1,accuracy,0.2407407407407407
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,KH,0.1,accuracy,0.2824074074074074
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,KH,0.1,accuracy,0.2800925925925926
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,KH,0.01,accuracy,0.19675925925925927
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,KH,0.01,accuracy,0.19444444444444442
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,KH,0.01,accuracy,0.19675925925925927
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,KH,0.01,accuracy,0.19444444444444442
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,KH,0.01,accuracy,0.17361111111111113
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,KH,0.01,accuracy,0.1921296296296296
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,KH,0.5,accuracy,0.5763888888888888
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,KH,0.5,accuracy,0.6273148148148148
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,KH,0.5,accuracy,0.5671296296296297
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,KH,0.5,accuracy,0.6087962962962963
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,KH,0.5,accuracy,0.6342592592592592
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,KH,0.5,accuracy,0.6064814814814815
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,KH,1.0,accuracy,0.7106481481481483
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,KH,1.0,accuracy,0.7731481481481483
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,KH,1.0,accuracy,0.6481481481481481
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,KH,1.0,accuracy,0.7175925925925926
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,KH,1.0,accuracy,0.6597222222222221
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,KH,1.0,accuracy,0.6736111111111112
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,KH,0.1,accuracy,0.3055555555555556
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,KH,0.1,accuracy,0.17592592592592593
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,KH,0.1,accuracy,0.3217592592592593
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,KH,0.1,accuracy,0.1921296296296296
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,KH,0.1,accuracy,0.28472222222222227
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,KH,0.1,accuracy,0.3101851851851852
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,KH,0.01,accuracy,0.17129629629629625
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,KH,0.01,accuracy,0.23842592592592593
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,KH,0.01,accuracy,0.17129629629629625
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,KH,0.01,accuracy,0.23842592592592593
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,KH,0.01,accuracy,0.17361111111111108
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,KH,0.01,accuracy,0.19444444444444442
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,KH,0.5,accuracy,0.5833333333333333
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,KH,0.5,accuracy,0.5393518518518519
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,KH,0.5,accuracy,0.5925925925925926
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,KH,0.5,accuracy,0.5300925925925926
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,KH,0.5,accuracy,0.5694444444444445
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,KH,0.5,accuracy,0.6087962962962963
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,KH,1.0,accuracy,0.6921296296296298
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,KH,1.0,accuracy,0.6504629629629629
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,KH,1.0,accuracy,0.6782407407407408
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,KH,1.0,accuracy,0.7060185185185185
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,KH,1.0,accuracy,0.6550925925925927
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,KH,1.0,accuracy,0.673611111111111
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,KH,0.1,accuracy,0.26157407407407407
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,KH,0.1,accuracy,0.33796296296296297
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,KH,0.1,accuracy,0.2986111111111111
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,KH,0.1,accuracy,0.27546296296296297
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,KH,0.1,accuracy,0.29398148148148145
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,KH,0.1,accuracy,0.3634259259259259
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,KH,0.01,accuracy,0.1921296296296296
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,KH,0.01,accuracy,0.17824074074074073
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,KH,0.01,accuracy,0.1921296296296296
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,KH,0.01,accuracy,0.17824074074074073
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,KH,0.01,accuracy,0.2199074074074074
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,KH,0.01,accuracy,0.1875
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,KH,0.5,accuracy,0.613425925925926
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,KH,0.5,accuracy,0.4976851851851851
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,KH,0.5,accuracy,0.6203703703703703
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,KH,0.5,accuracy,0.638888888888889
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,KH,0.5,accuracy,0.613425925925926
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,KH,0.5,accuracy,0.6018518518518519
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,MS,1.0,accuracy,0.908662900188324
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,MS,1.0,accuracy,0.8992467043314502
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,MS,1.0,accuracy,0.9130571249215316
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,MS,1.0,accuracy,0.9026993094789704
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,MS,1.0,accuracy,0.8487131198995606
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,MS,1.0,accuracy,0.8618957940991839
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,MS,0.1,accuracy,0.38763339610797237
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,MS,0.1,accuracy,0.39799121155053363
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,MS,0.1,accuracy,0.4623352165725047
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,MS,0.1,accuracy,0.3826114249843063
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,MS,0.1,accuracy,0.42153170119271816
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,MS,0.1,accuracy,0.3810420590081607
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,MS,0.01,accuracy,0.22316384180790957
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,MS,0.01,accuracy,0.2187696170747018
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,MS,0.01,accuracy,0.23226616446955428
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,MS,0.01,accuracy,0.22316384180790957
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,MS,0.01,accuracy,0.19930947897049592
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,MS,0.01,accuracy,0.21249215317011927
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,MS,0.5,accuracy,0.8534212178279974
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,MS,0.5,accuracy,0.8060263653483992
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,MS,0.5,accuracy,0.8380414312617702
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,MS,0.5,accuracy,0.827683615819209
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,MS,0.5,accuracy,0.8010043942247332
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,MS,0.5,accuracy,0.7997489014438166
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,MS,1.0,accuracy,0.9099183929692404
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,MS,1.0,accuracy,0.8870056497175142
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,MS,1.0,accuracy,0.8876333961079723
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,MS,1.0,accuracy,0.8380414312617702
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,MS,1.0,accuracy,0.8584431889516635
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,MS,1.0,accuracy,0.8446327683615819
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,MS,0.1,accuracy,0.4824231010671689
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,MS,0.1,accuracy,0.31732580037664787
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,MS,0.1,accuracy,0.42090395480225995
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,MS,0.1,accuracy,0.35499058380414317
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,MS,0.1,accuracy,0.36409290646578785
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,MS,0.1,accuracy,0.39610797237915885
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,MS,0.01,accuracy,0.1914626490897677
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,MS,0.01,accuracy,0.1942875078468299
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,MS,0.01,accuracy,0.19585687382297556
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,MS,0.01,accuracy,0.20056497175141239
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,MS,0.01,accuracy,0.17922159447583177
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,MS,0.01,accuracy,0.19899560577526682
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,MS,0.5,accuracy,0.8600125549278091
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,MS,0.5,accuracy,0.5988700564971752
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,MS,0.5,accuracy,0.8449466415568111
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,MS,0.5,accuracy,0.8038292529817954
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,MS,0.5,accuracy,0.7724419334588827
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,MS,0.5,accuracy,0.7840552416823603
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,MS,1.0,accuracy,0.8838669177652229
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,MS,1.0,accuracy,0.8810420590081608
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,MS,1.0,accuracy,0.9039548022598871
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,MS,1.0,accuracy,0.8703703703703703
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,MS,1.0,accuracy,0.8593848085373509
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,MS,1.0,accuracy,0.8640929064657876
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,MS,0.1,accuracy,0.516949152542373
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,MS,0.1,accuracy,0.3217200251098556
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,MS,0.1,accuracy,0.43879472693032023
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,MS,0.1,accuracy,0.3659761456371626
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,MS,0.1,accuracy,0.44413057124921523
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,MS,0.1,accuracy,0.4444444444444444
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,MS,0.01,accuracy,0.22630257376020085
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,MS,0.01,accuracy,0.2247332077840552
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,MS,0.01,accuracy,0.25455116133082234
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,MS,0.01,accuracy,0.22128060263653482
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,MS,0.01,accuracy,0.2332077840552417
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,MS,0.01,accuracy,0.22284996861268047
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,MS,0.5,accuracy,0.8527934714375393
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,MS,0.5,accuracy,0.8195229127432517
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,MS,0.5,accuracy,0.8662900188323917
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,MS,0.5,accuracy,0.8408662900188325
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,MS,0.5,accuracy,0.7919020715630886
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,MS,0.5,accuracy,0.8085373509102323
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Thigh,1.0,accuracy,0.7713365539452497
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,RW-Thigh,1.0,accuracy,0.7759374281113413
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Thigh,1.0,accuracy,0.7784679089026915
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,RW-Thigh,1.0,accuracy,0.765125373821026
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,RW-Thigh,1.0,accuracy,0.7254428341384864
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,RW-Thigh,1.0,accuracy,0.7397055440533703
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.1,accuracy,0.6245686680469289
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,RW-Thigh,0.1,accuracy,0.2755923625488843
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.1,accuracy,0.589602024384633
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,RW-Thigh,0.1,accuracy,0.32574189095928224
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,RW-Thigh,0.1,accuracy,0.5347365999539914
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,RW-Thigh,0.1,accuracy,0.5731538992408558
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.01,accuracy,0.21060501495284104
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,RW-Thigh,0.01,accuracy,0.20220841959972397
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.01,accuracy,0.19829767655854613
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,RW-Thigh,0.01,accuracy,0.2307338394294916
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,RW-Thigh,0.01,accuracy,0.22187715665976537
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,RW-Thigh,0.01,accuracy,0.2339544513457557
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.5,accuracy,0.7600644122383252
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,RW-Thigh,0.5,accuracy,0.7401656314699793
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.5,accuracy,0.7468368990108121
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,RW-Thigh,0.5,accuracy,0.7367149758454107
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,RW-Thigh,0.5,accuracy,0.7302737520128825
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,RW-Thigh,0.5,accuracy,0.7346445824706694
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,RW-Thigh,1.0,accuracy,0.7499424890729238
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,RW-Thigh,1.0,accuracy,0.7573038877386703
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Thigh,1.0,accuracy,0.7500575109270762
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,RW-Thigh,1.0,accuracy,0.7660455486542442
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,RW-Thigh,1.0,accuracy,0.7418909592822636
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,RW-Thigh,1.0,accuracy,0.7421210029905683
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.1,accuracy,0.5677478720956982
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,RW-Thigh,0.1,accuracy,0.39602024384633083
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.1,accuracy,0.5418679549114332
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,RW-Thigh,0.1,accuracy,0.3191856452726018
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,RW-Thigh,0.1,accuracy,0.5327812284334024
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,RW-Thigh,0.1,accuracy,0.5172532781228433
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.01,accuracy,0.20232344145387626
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,RW-Thigh,0.01,accuracy,0.20508396595353118
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.01,accuracy,0.20749942489072923
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,RW-Thigh,0.01,accuracy,0.20715435932827242
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,RW-Thigh,0.01,accuracy,0.20105820105820105
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,RW-Thigh,0.01,accuracy,0.20922475270301355
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.5,accuracy,0.7409707844490453
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,RW-Thigh,0.5,accuracy,0.7490223142397057
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.5,accuracy,0.7652403956751783
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,RW-Thigh,0.5,accuracy,0.7490223142397057
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,RW-Thigh,0.5,accuracy,0.7234874626178973
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,RW-Thigh,0.5,accuracy,0.7086496434322521
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,1.0,accuracy,0.7670807453416146
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,RW-Thigh,1.0,accuracy,0.7498274672187716
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,1.0,accuracy,0.7739820565907523
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,RW-Thigh,1.0,accuracy,0.5550954681389464
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,RW-Thigh,1.0,accuracy,0.7315389924085577
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,RW-Thigh,1.0,accuracy,0.7193466758684149
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.1,accuracy,0.5748792270531401
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,RW-Thigh,0.1,accuracy,0.5587761674718196
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.1,accuracy,0.5328962502875546
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,RW-Thigh,0.1,accuracy,0.33563377041637915
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,RW-Thigh,0.1,accuracy,0.5663676098458708
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,RW-Thigh,0.1,accuracy,0.5547504025764897
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.01,accuracy,0.1955371520588912
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,RW-Thigh,0.01,accuracy,0.1789740050609616
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.01,accuracy,0.23567977915804003
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,RW-Thigh,0.01,accuracy,0.18046928916494132
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,RW-Thigh,0.01,accuracy,0.23360938578329882
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,RW-Thigh,0.01,accuracy,0.24430641821946172
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.5,accuracy,0.7645502645502645
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,RW-Thigh,0.5,accuracy,0.7422360248447205
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.5,accuracy,0.7415458937198067
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,RW-Thigh,0.5,accuracy,0.7391304347826088
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,RW-Thigh,0.5,accuracy,0.7168161950770647
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,RW-Thigh,0.5,accuracy,0.7134805613066483
